support,itemsets
0.380093,olarak
0.369263,dedi
0.326973,sonra
0.322847,olan
0.309438,ardından
0.290872,ilgili
0.281073,tarafından
0.280041,üzerine
0.278494,etti
0.27179,söyledi
0.270242,yapılan
0.268179,gelen
0.267664,olduğu
0.265085,olduğunu
0.257865,dha
0.250129,devam
0.249613,bulunan
0.235688,önce
0.227953,konuştu
0.221764,başkanı
0.221248,nedeniyle
0.220217,eden
0.203198,saat
