support,itemsets
0.404506,olarak
0.37532,olan
0.313364,dedi
0.31234,sonra
0.306708,olduğunu
0.300563,olduğu
0.263185,söyledi
0.260625,son
0.258577,önce
0.255504,büyük
0.240655,ardından
0.224782,yeni
0.223246,etti
0.221198,tarafından
0.220686,ilgili
0.220174,yıl
0.21915,yaptığı
0.204813,başkanı
0.202765,ilk
0.200717,yapılan
