support,itemsets
0.445826,olarak
0.41076,olan
0.334183,dedi
0.327289,sonra
0.279634,büyük
0.275288,son
0.274689,olduğunu
0.260303,yeni
0.259254,olduğu
0.257905,ilk
0.25251,önce
0.249363,etti
0.247115,yıl
0.24232,söyledi
0.240671,"olan, olarak"
0.239772,ilgili
0.239023,var
0.235726,oldu
0.229732,tarafından
0.222838,ardından
0.222239,devam
0.221789,başkanı
0.214746,yer
0.209201,arasında
0.200659,türkiye
